data,carteira_buy_and_hold
2020-01-02,100.0
2020-01-03,99.3515065751977
2020-01-06,99.29280339221471
2020-01-07,99.11984974612571
2020-01-08,98.08376358192282
2020-01-09,97.38231711253945
2020-01-10,97.49944580955683
2020-01-13,98.51491206216332
2020-01-14,98.74657583052078
2020-01-15,98.3427438500643
2020-01-16,98.64706423544504
2020-01-17,100.14094733689602
2020-01-20,100.6287986611293
2020-01-21,99.38351259369126
2020-01-22,100.39664368010256
2020-01-23,101.17512244757506
2020-01-24,101.31696672715431
2020-01-27,99.30519020449428
2020-01-28,100.30779414000091
2020-01-29,100.26927136425533
2020-01-30,99.96494782074589
2020-01-31,98.31555344994959
2020-02-03,99.17569949576742
2020-02-04,99.81383866947942
2020-02-05,100.40745717241708
2020-02-06,101.63287962177641
2020-02-07,100.25139777311023
2020-02-10,100.24254026414488
2020-02-11,102.56800649513414
2020-02-12,104.12726518298663
2020-02-13,103.90451778444859
2020-02-14,103.20253926970773
2020-02-17,103.86442060664993
2020-02-18,103.26008363395087
2020-02-19,106.18100055436578
2020-02-20,104.93639389892599
2020-02-21,105.1706079590349
2020-02-26,100.0731340709467
2020-02-27,97.74908335200459
2020-02-28,97.54163797304369
2020-03-02,100.88382678871619
2020-03-03,100.99683427720007
2020-03-04,102.51672557698174
2020-03-05,99.9579087411581
2020-03-06,96.038378410028
2020-03-09,87.65868030782184
2020-03-10,91.9649118914498
2020-03-11,87.6164140605222
2020-03-12,79.39527934817639
2020-03-13,85.31791168007743
2020-03-16,77.47997201149072
2020-03-17,79.50645527395176
2020-03-18,75.3386177239108
2020-03-19,76.73761412140398
2020-03-20,77.67952107167271
2020-03-23,77.87985120254207
2020-03-24,80.73383782588512
2020-03-25,83.5994033177266
2020-03-26,85.16805889081782
2020-03-27,82.09281921401919
2020-03-30,82.25262926729324
2020-03-31,82.22254149502666
2020-04-01,80.94067363354313
2020-04-02,82.43955717071834
2020-04-03,80.43795177863387
2020-04-06,82.2489466274948
2020-04-07,85.78808284881733
2020-04-08,88.18358903627926
2020-04-09,86.78336937311495
2020-04-13,87.77654180967833
2020-04-14,87.48596319866151
2020-04-15,86.07410407062106
2020-04-16,85.4777097150653
2020-04-17,86.36382345926621
2020-04-20,86.15625629807379
2020-04-22,87.55779582410446
2020-04-23,86.72065521631495
2020-04-24,85.32721663645228
2020-04-27,87.02374009662199
2020-04-28,89.10615033933291
2020-04-29,90.20986950244013
2020-04-30,88.3348882402122
2020-05-04,87.13532146979884
2020-05-05,87.32179877596595
2020-05-06,86.8842173586362
2020-05-07,87.14378965225164
2020-05-08,88.28733627973561
2020-05-11,88.39188838889785
2020-05-12,87.04275340490662
2020-05-13,87.32884057367723
2020-05-14,87.15170323605587
2020-05-15,85.9520299489765
2020-05-18,88.1047860994409
2020-05-19,88.15149419177544
2020-05-20,89.00613851178164
2020-05-21,88.94689278660195
2020-05-22,88.42751235145906
2020-05-25,89.89711061815748
2020-05-26,90.60548516421302
2020-05-27,91.75890862773385
2020-05-28,91.25866626416932
2020-05-29,92.82147430524711
2020-06-01,93.52181288014243
2020-06-02,94.95349465990468
2020-06-03,95.64362459608161
2020-06-04,97.30913949692285
2020-06-05,97.98939594389186
2020-06-08,99.4568520731709
2020-06-09,98.95641526616231
2020-06-10,97.52623082126955
2020-06-12,96.08889865062682
2020-06-15,95.8587897679647
2020-06-16,97.20395981345888
2020-06-17,98.40323454320071
2020-06-18,98.85950310256342
2020-06-19,99.35710621791723
2020-06-22,98.0237386958139
2020-06-23,98.68763340051683
2020-06-24,97.9339048631432
2020-06-25,100.23047794574182
2020-06-26,99.89583317640258
2020-06-29,100.67251835393262
2020-06-30,100.63049239724438
2020-07-01,101.66660773641418
2020-07-02,102.82704723487073
2020-07-03,102.9532068810888
2020-07-06,103.64220197749742
2020-07-07,103.47573417462144
2020-07-08,104.41660041890027
2020-07-09,104.00003490217722
2020-07-10,104.56128831515167
2020-07-13,104.53284516307859
2020-07-14,105.61970842995744
2020-07-15,106.1629749633604
2020-07-16,105.28004322374142
2020-07-17,107.62938075709538
2020-07-20,108.91202617719713
2020-07-21,108.91181105517244
2020-07-22,113.19231119877398
2020-07-23,111.88320868426362
2020-07-24,111.6645199967893
2020-07-27,115.15873747980933
2020-07-28,113.08503823711145
2020-07-29,114.16823030956893
2020-07-30,113.90878272306152
2020-07-31,112.53475795353326
2020-08-03,111.9725513752314
2020-08-04,111.50539570124317
2020-08-05,113.41560580314535
2020-08-06,114.52443799319228
2020-08-07,112.86660993459296
2020-08-10,114.155151646565
2020-08-11,112.40604795504586
2020-08-12,113.23694424032479
2020-08-13,112.70924406975104
2020-08-14,113.05888392005949
2020-08-17,112.28467347229173
2020-08-18,112.75405896617215
2020-08-19,111.41020597466293
2020-08-20,112.2164472467949
2020-08-21,112.17132305180803
2020-08-24,112.13592092832123
2020-08-25,112.70206999236404
2020-08-26,111.0339590987668
2020-08-27,110.79748353310451
2020-08-28,111.74353778159964
2020-08-31,109.13953731302544
2020-09-01,111.90810222489304
2020-09-02,111.62860325574337
2020-09-03,109.94932420427358
2020-09-04,110.57767967826152
2020-09-08,108.73683258318857
2020-09-09,110.19025760117599
2020-09-10,107.8049210632412
2020-09-11,108.24749043633122
2020-09-14,109.04139430131684
2020-09-15,109.50458035649783
2020-09-16,108.33238784323646
2020-09-17,108.79054439282345
2020-09-18,107.75373046676341
2020-09-21,107.64762848596348
2020-09-22,108.4056015809961
2020-09-23,107.02043505343136
2020-09-24,108.31462586837091
2020-09-25,108.18558377991022
2020-09-28,107.04403221878346
2020-09-29,107.65735643482768
2020-09-30,108.4913528913219
2020-10-01,109.29233597894508
2020-10-02,108.85150292637098
2020-10-05,111.53433908625917
2020-10-06,111.90737708854363
2020-10-07,113.20870043902664
2020-10-08,115.69069747020467
2020-10-09,116.40181229142217
2020-10-13,117.96249591452897
2020-10-14,118.84934654343999
2020-10-15,118.6044509317153
2020-10-16,118.83708360163314
2020-10-19,118.95683284680806
2020-10-20,120.57516962517971
2020-10-21,118.00285923062725
2020-10-22,121.11907360115379
2020-10-23,120.68503297383847
2020-10-26,121.01597460081032
2020-10-27,120.73622023780891
2020-10-28,116.5680161194052
2020-10-29,118.14418733407297
2020-10-30,114.81209368548059
2020-11-03,117.0173818871149
2020-11-04,119.89481811284156
2020-11-05,122.61548037398143
2020-11-06,121.79037507088677
2020-11-09,122.66240371279412
2020-11-10,122.03042694999473
2020-11-11,122.89599342564189
2020-11-12,121.83539422187606
2020-11-13,123.88554097656058
2020-11-16,124.40734373238587
2020-11-17,125.23843720334196
2020-11-18,124.28932571281015
2020-11-19,124.77413985145215
2020-11-23,125.0919934686403
2020-11-24,126.12449441002605
2020-11-25,126.38732418130184
2020-11-26,126.40380796317595
2020-11-27,126.53454285009437
2020-11-30,123.92541753447134
2020-12-01,125.87797342491888
2020-12-02,125.42741445063389
2020-12-03,125.9399400330655
2020-12-04,126.11744468366832
2020-12-07,126.08234426661582
2020-12-08,126.41217016887296
2020-12-09,125.7009361776989
2020-12-10,127.30058115610252
2020-12-11,127.03391300978772
2020-12-14,126.14414746662808
2020-12-15,127.91200915778424
2020-12-16,129.31322568805518
2020-12-17,131.0342139852134
2020-12-18,129.45033382095775
2020-12-21,127.779361951021
2020-12-22,128.50422427322127
2020-12-23,129.10977649118058
2020-12-28,131.1359965121365
2020-12-29,130.84241761162838
2020-12-30,131.07549023503867
2021-01-04,131.57268686587662
2021-01-05,135.14538087205176
2021-01-06,137.6537682428462
2021-01-07,142.39946378718474
2021-01-08,145.3553018144561
2021-01-11,143.28553209995619
2021-01-12,144.18279645402328
2021-01-13,142.45173381984324
2021-01-14,143.21219968292166
2021-01-15,138.69317934284862
2021-01-18,142.2931082319981
2021-01-19,140.89197641829094
2021-01-20,139.3746900151025
2021-01-21,138.48328298994204
2021-01-22,138.54400969416423
2021-01-26,137.7310305304211
2021-01-27,137.04658334973513
2021-01-28,138.05414996466936
2021-01-29,133.75371578507497
2021-02-01,135.8819629455148
2021-02-02,135.54176531303494
2021-02-03,138.38774367120465
2021-02-04,136.15915066738506
2021-02-05,136.45978798174824
2021-02-08,136.75465610261398
2021-02-09,136.3637164771036
2021-02-10,137.10305340975148
2021-02-11,137.3433216916506
2021-02-12,137.54067725966436
2021-02-17,137.30137364817784
2021-02-18,137.11037723517003
2021-02-19,136.0623685139139
